"Date","Price","Open","High","Low","Change %"
"Dec 15, 2021","23,030.0","23,020.0","23,075.0","23,010.0","0.13%"
"Dec 14, 2021","23,000.0","22,977.5","23,025.0","22,960.0","0.11%"
"Dec 13, 2021","22,975.0","23,051.5","23,051.5","22,960.0","-0.22%"
"Dec 10, 2021","23,025.0","23,010.0","23,075.0","22,967.5","0.20%"
"Dec 09, 2021","22,980.0","22,937.5","22,997.5","22,910.0","0.26%"
"Dec 08, 2021","22,920.0","23,065.0","23,080.0","22,920.0","-0.65%"
"Dec 07, 2021","23,070.0","23,075.0","23,120.0","23,015.0","0.22%"
"Dec 06, 2021","23,020.0","22,855.0","23,125.0","22,825.0","0.83%"
"Dec 03, 2021","22,830.0","22,693.5","22,857.5","22,693.5","0.44%"
"Dec 02, 2021","22,730.0","22,715.0","22,735.0","22,696.0","0.09%"
"Dec 01, 2021","22,710.0","22,690.0","22,715.0","22,690.0","0.10%"
"Nov 30, 2021","22,688.0","22,693.0","22,726.0","22,675.0","-0.01%"
"Nov 29, 2021","22,690.0","22,675.0","22,695.0","22,670.0","0.05%"
"Nov 26, 2021","22,678.0","22,675.0","22,685.0","22,667.0","0.04%"
"Nov 25, 2021","22,670.0","22,685.0","22,690.0","22,669.5","-0.04%"
"Nov 24, 2021","22,680.0","22,685.0","22,695.0","22,670.0","0.02%"
"Nov 23, 2021","22,675.0","22,670.0","22,680.0","22,665.5","0.02%"
"Nov 22, 2021","22,670.0","22,667.5","22,675.0","22,643.5","0.06%"
"Nov 19, 2021","22,657.0","22,654.0","22,665.0","22,651.5","0.03%"
"Nov 18, 2021","22,650.0","22,665.0","22,665.0","22,647.5","0.01%"
"Nov 17, 2021","22,648.0","22,649.5","22,655.5","22,645.0","-0.01%"
"Nov 16, 2021","22,650.0","22,650.0","22,655.0","22,645.0","0.02%"
"Nov 15, 2021","22,645.0","22,650.0","22,662.0","22,644.5","0.02%"
"Nov 12, 2021","22,640.0","22,646.0","22,662.0","22,637.0","-0.02%"
"Nov 11, 2021","22,645.0","22,647.5","22,659.0","22,644.0","-0.07%"
"Nov 10, 2021","22,660.0","22,661.5","22,667.5","22,657.5","-0.01%"
"Nov 09, 2021","22,662.0","22,663.5","22,669.5","22,658.5","0.01%"
"Nov 08, 2021","22,660.0","22,672.5","22,685.0","22,657.0","-0.09%"
"Nov 05, 2021","22,680.0","22,681.0","22,690.0","22,676.0","0.00%"
"Nov 04, 2021","22,680.0","22,680.0","22,723.5","22,680.0","-0.29%"
"Nov 03, 2021","22,747.0","22,748.0","22,754.0","22,744.0","-0.00%"
"Nov 02, 2021","22,748.0","22,749.5","22,758.5","22,742.5","-0.01%"
"Nov 01, 2021","22,750.0","22,753.0","22,757.5","22,745.5","0.00%"
"Oct 29, 2021","22,750.0","22,753.0","22,756.0","22,745.5","0.00%"
"Oct 28, 2021","22,750.0","22,755.0","22,762.5","22,753.0","-0.02%"
"Oct 27, 2021","22,755.0","22,755.0","22,764.5","22,752.5","-0.01%"
"Oct 26, 2021","22,757.0","22,758.5","22,761.5","22,752.0","0.05%"
"Oct 25, 2021","22,745.0","22,755.0","22,759.5","22,750.0","-0.04%"
"Oct 22, 2021","22,754.0","22,755.0","22,762.0","22,748.5","0.02%"
"Oct 21, 2021","22,750.0","22,754.5","22,762.5","22,751.0","-0.02%"
"Oct 20, 2021","22,755.0","22,756.5","22,763.0","22,753.0","0.00%"
"Oct 19, 2021","22,755.0","22,757.0","22,764.0","22,753.5","-0.01%"
"Oct 18, 2021","22,758.0","22,792.5","22,794.0","22,757.0","0.00%"
"Oct 15, 2021","22,758.0","22,759.0","22,762.5","22,757.5","0.00%"
"Oct 14, 2021","22,757.0","22,760.0","22,765.5","22,752.0","0.00%"
"Oct 13, 2021","22,757.0","22,755.0","22,763.5","22,752.0","0.00%"
"Oct 12, 2021","22,757.0","22,754.5","22,763.5","22,750.0","0.03%"
"Oct 11, 2021","22,750.0","22,759.5","22,764.0","22,752.5","-0.03%"
"Oct 08, 2021","22,757.0","22,758.0","22,765.0","22,753.5","0.03%"
"Oct 07, 2021","22,750.0","22,760.5","22,766.0","22,753.0","0.00%"
"Oct 06, 2021","22,750.0","22,762.0","22,805.0","22,755.5","-0.02%"
"Oct 05, 2021","22,754.0","22,758.5","22,764.0","22,753.0","-0.01%"
"Oct 04, 2021","22,757.0","22,758.0","22,764.5","22,754.0","0.00%"
"Oct 01, 2021","22,757.0","22,760.5","22,765.0","22,754.0","0.03%"
"Sep 30, 2021","22,750.0","22,755.5","22,768.5","22,753.0","-0.01%"
"Sep 29, 2021","22,753.0","22,768.0","22,768.5","22,755.5","-0.04%"
"Sep 28, 2021","22,761.0","22,769.0","22,785.0","22,756.0","-0.02%"
"Sep 27, 2021","22,766.0","22,763.0","22,773.5","22,757.0","0.03%"
"Sep 24, 2021","22,760.0","22,770.0","22,774.5","22,764.5","-0.01%"
"Sep 23, 2021","22,762.0","22,765.0","22,772.5","22,756.0","0.01%"
"Sep 22, 2021","22,760.0","22,760.5","22,780.0","22,755.5","0.02%"
"Sep 21, 2021","22,755.0","22,764.5","22,781.0","22,760.0","-0.06%"
"Sep 20, 2021","22,769.0","22,775.0","22,782.0","22,771.0","-0.00%"
"Sep 17, 2021","22,770.0","22,756.0","22,772.5","22,754.0","0.07%"
"Sep 16, 2021","22,753.0","22,761.0","22,765.0","22,753.0","-0.02%"
"Sep 15, 2021","22,758.0","22,757.5","22,766.0","22,754.5","-0.00%"
"Sep 14, 2021","22,759.0","22,765.0","22,766.5","22,756.5","0.00%"
"Sep 13, 2021","22,759.0","22,766.0","22,767.5","22,756.5","0.01%"
"Sep 10, 2021","22,757.0","22,764.0","22,767.0","22,754.5","-0.04%"
"Sep 09, 2021","22,765.0","22,760.0","22,767.5","22,754.5","0.04%"
"Sep 08, 2021","22,757.0","22,764.5","22,769.0","22,751.0","-0.00%"
"Sep 07, 2021","22,758.0","22,760.5","22,790.0","22,755.0","-0.01%"
"Sep 06, 2021","22,760.0","22,772.5","22,781.5","22,762.5","0.00%"
"Sep 01, 2021","22,760.0","22,765.0","22,795.0","22,763.0","-0.07%"
"Aug 31, 2021","22,775.0","22,782.5","22,785.5","22,771.5","0.00%"
"Aug 30, 2021","22,775.0","22,800.0","22,800.5","22,777.5","-0.06%"
"Aug 27, 2021","22,789.0","22,785.0","22,794.5","22,777.5","0.02%"
"Aug 26, 2021","22,785.0","22,791.0","22,819.0","22,782.5","-0.02%"
"Aug 25, 2021","22,790.0","22,815.0","22,830.0","22,792.5","-0.13%"
"Aug 24, 2021","22,820.0","22,825.0","22,833.5","22,821.0","-0.02%"
"Aug 23, 2021","22,825.0","22,825.0","22,832.5","22,814.5","0.02%"
"Aug 20, 2021","22,820.0","22,830.5","22,834.0","22,808.5","0.04%"
"Aug 19, 2021","22,812.0","22,805.0","22,837.5","22,805.0","0.02%"
"Aug 18, 2021","22,807.0","22,832.5","22,839.0","22,798.0","-0.10%"
"Aug 17, 2021","22,830.0","22,805.0","22,840.5","22,805.0","0.00%"
"Aug 16, 2021","22,830.0","22,817.5","22,846.0","22,817.5","0.00%"
"Aug 13, 2021","22,830.0","22,805.0","22,832.5","22,800.0","0.11%"
"Aug 12, 2021","22,805.0","22,800.0","22,845.0","22,785.0","-0.02%"
"Aug 11, 2021","22,809.0","22,955.0","22,955.0","22,790.0","-0.34%"
"Aug 10, 2021","22,887.0","22,931.0","22,943.0","22,882.0","-0.17%"
"Aug 09, 2021","22,925.0","22,930.0","22,966.0","22,920.5","-0.01%"
"Aug 06, 2021","22,927.0","22,955.0","22,957.0","22,921.5","-0.04%"
"Aug 05, 2021","22,936.0","22,940.0","22,952.0","22,938.0","-0.04%"
"Aug 04, 2021","22,945.0","22,945.0","22,957.0","22,930.0","-0.02%"
"Aug 03, 2021","22,950.0","22,955.0","22,985.0","22,928.5","0.00%"
"Aug 02, 2021","22,950.0","22,955.0","22,961.5","22,952.5","0.00%"
"Jul 30, 2021","22,950.0","22,987.5","22,992.5","22,952.5","-0.07%"
