Date,USD
2012-01-19,1655.0
2012-01-20,1653.0
2012-01-23,1675.5
2012-01-24,1665.5
2012-01-25,1650.0
2012-01-26,1727.0
2012-01-27,1726.0
2012-01-30,1729.0
2012-01-31,1744.0
2012-02-01,1740.0
2012-02-02,1751.0
2012-02-03,1734.0
2012-02-06,1719.0
2012-02-07,1724.0
2012-02-08,1746.0
2012-02-09,1748.0
2012-02-10,1711.5
2012-02-13,1720.0
2012-02-14,1722.0
2012-02-15,1733.0
2012-02-16,1713.0
2012-02-17,1723.0
2012-02-20,1733.0
2012-02-21,1748.0
2012-02-22,1752.0
2012-02-23,1777.0
2012-02-24,1777.5
2012-02-27,1772.0
2012-02-28,1781.0
2012-02-29,1770.0
2012-03-01,1714.0
2012-03-02,1707.0
2012-03-05,1705.0
2012-03-06,1669.0
2012-03-07,1677.5
2012-03-08,1690.0
2012-03-09,1687.5
2012-03-12,1697.5
2012-03-13,1690.0
2012-03-14,1644.25
2012-03-15,1648.0
2012-03-16,1658.0
2012-03-19,1661.5
2012-03-20,1656.75
2012-03-21,1649.25
2012-03-22,1635.5
2012-03-23,1664.0
2012-03-26,1680.25
2012-03-27,1692.0
2012-03-28,1676.0
2012-03-29,1657.5
2012-03-30,1662.5
2012-04-02,1677.5
2012-04-03,1676.25
2012-04-04,1621.0
2012-04-05,1631.0
2012-04-06,1631.0
2012-04-09,1631.0
2012-04-10,1644.0
2012-04-11,1658.0
2012-04-12,1668.5
2012-04-13,1666.5
2012-04-16,1653.0
2012-04-17,1635.5
2012-04-18,1644.0
2012-04-19,1650.0
2012-04-20,1641.5
2012-04-23,1629.0
2012-04-24,1649.5
2012-04-25,1637.75
2012-04-26,1653.5
2012-04-27,1663.5
2012-04-30,1651.25
2012-05-01,1664.0
2012-05-02,1648.0
2012-05-03,1637.75
2012-05-04,1643.75
2012-05-07,1643.75
2012-05-08,1602.5
2012-05-09,1582.5
2012-05-10,1598.5
2012-05-11,1583.0
2012-05-14,1558.5
